id,height,weight
1,159,78
2,180,46
3,173,79
4,155,100
5,164,70
6,187,70
7,150,72
8,166,48
9,183,75
10,161,51
11,163,65
12,169,85
13,185,61
14,164,76
15,166,82
16,166,73
17,192,54
18,192,66
19,180,94
20,174,46
21,177,67
22,185,63
23,161,71
24,182,79
25,157,89
26,164,67
27,179,80
28,156,76
29,169,76
30,161,63
31,167,58
32,150,57
33,152,61
34,163,74
35,179,79
36,168,74
37,170,63
38,177,92
39,161,88
40,173,66
41,162,60
42,153,72
43,166,85
44,176,74
45,173,77
46,170,67
47,194,75
48,174,89
49,180,67
50,192,72
51,157,73
52,160,73
53,187,53
54,162,47
55,170,58
56,181,72
57,179,77
58,188,64
59,185,87
60,181,68
61,162,70
62,178,68
63,173,72
64,157,78
65,184,78
66,178,59
67,170,88
68,168,57
69,158,71
70,172,67
71,175,57
72,162,69
73,182,61
74,159,71
75,150,75
76,180,88
77,166,74
78,169,63
79,162,65
80,154,72
81,183,71
82,163,88
83,187,87
84,178,66
85,167,63
86,159,45
87,163,63
88,158,58
89,191,66
90,172,75
91,182,72
92,157,70
93,172,72
94,182,68
95,167,72
96,180,45
97,159,67
98,156,69
99,174,66
100,166,67
