Order_ID,Customer_Name,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Order_Date,Region,Sales_Channel
ORD-00001,Grace,Electronics,Jeans,4,230.62,0.22,2025-12-10 22:07:17.382896,West,Catalog
ORD-00002,David,Home,Jeans,8,479.21,0.1,2026-05-28 22:07:17.382907,West,Catalog
ORD-00003,Henry,Books,Laptop,2,205.53,0.14,2026-01-25 22:07:17.382911,North,Online
ORD-00004,Eve,Home,Jeans,9,421.5,0.28,2025-12-04 22:07:17.382913,West,Store
ORD-00005,Grace,Home,Cookbook,6,102.38,0.1,2025-08-15 22:07:17.382915,West,Store
ORD-00006,Jack,Home,Lamp,9,339.51,0.14,2025-10-10 22:07:17.382918,South,Online
ORD-00007,Charlie,Home,Laptop,8,488.73,0.0,2026-05-21 22:07:17.382920,West,Catalog
ORD-00008,Grace,Sports,Laptop,7,59.93,0.02,2025-12-04 22:07:17.382922,North,Store
ORD-00009,Henry,Sports,Novel,1,14.08,0.08,2025-10-08 22:07:17.382924,South,Catalog
ORD-00010,Eve,Clothing,Ball,3,222.46,0.01,2025-12-23 22:07:17.382926,North,Store
ORD-00011,David,Electronics,Ball,2,55.39,0.19,2025-11-08 22:07:17.382928,East,Store
ORD-00012,Henry,Home,Cookbook,5,376.71,0.13,2026-07-06 22:07:17.382930,North,Store
ORD-00013,Henry,Clothing,Table,5,458.13,0.16,2026-01-30 22:07:17.382932,North,Store
ORD-00014,Charlie,Electronics,T-Shirt,5,222.67,0.05,2025-12-07 22:07:17.382934,South,Catalog
ORD-00015,Frank,Food,T-Shirt,4,136.77,0.09,2025-12-10 22:07:17.382936,West,Catalog
ORD-00016,Eve,Books,Cereal,5,222.86,0.2,2026-05-01 22:07:17.382938,North,Catalog
ORD-00017,Bob,Sports,Cookbook,3,364.49,0.29,2025-10-06 22:07:17.382939,South,Catalog
ORD-00018,Henry,Food,Laptop,1,14.44,0.02,2025-11-20 22:07:17.382941,East,Online
ORD-00019,Frank,Electronics,Cookbook,5,298.83,0.27,2026-04-05 22:07:17.382943,South,Store
ORD-00020,Bob,Food,Cookbook,9,310.51,0.17,2025-11-12 22:07:17.382945,South,Store
ORD-00021,Eve,Books,Cookbook,9,322.47,0.17,2026-04-27 22:07:17.382947,West,Store
ORD-00022,Alice,Electronics,Ball,4,128.59,0.15,2026-05-13 22:07:17.382949,North,Online
ORD-00023,,Food,Cookbook,3,359.89,0.02,2026-06-24 22:07:17.382950,East,Catalog
ORD-00024,Frank,Sports,Lamp,1,54.78,,2026-02-02 22:07:17.382952,South,Store
ORD-00025,Ivy,Sports,T-Shirt,2,107.64,0.18,2025-09-18 22:07:17.382954,North,Catalog
ORD-00026,Alice,Clothing,Cereal,8,439.96,0.1,2025-08-15 22:07:17.382956,North,Catalog
